,Unnamed: 0,French,English
0,0,partie,part
1,1,histoire,history
2,2,chercher,search
3,3,seulement,only
4,4,police,police
5,7,genre,kind
6,8,mois,month
7,10,car,because
8,11,mettre,to put
9,12,aucun,no
10,13,laisse,leash
11,14,eux,them
12,15,ville,city
13,16,chaque,each
14,17,parlÃƒÂ©,speak
15,18,arrivÃƒÂ©,come
16,19,devrait,should
17,20,bÃƒÂ©bÃƒÂ©,baby
18,22,heures,hours
19,23,vont,will
20,24,pendant,while
21,25,revoir,meet again
22,26,aucune,any
23,27,parle,speak
24,29,savais,knew
25,31,attention,Warning
26,32,voici,here is
27,33,pourrais,could
28,34,affaire,case
29,35,donner,give
30,36,type,type
31,37,leurs,their
32,38,donnÃƒÂ©,given
33,39,train,train
34,42,yeux,eyes
35,43,faÃƒÂ§on,way
36,45,dont,whose
37,46,trouve,find
38,47,premier,first
39,48,perdu,lost
40,49,main,hand
41,50,premiÃƒÂ¨re,first
42,51,cÃƒÂ´tÃƒÂ©,side
43,52,pouvoir,power
44,53,vieux,old
45,54,sois,be
46,55,tiens,here
47,56,matin,morning
48,57,tellement,so much
49,58,enfant,child
50,59,point,point
51,63,devant,in front of
52,64,vers,towards
53,65,minutes,minutes
54,66,demandÃƒÂ©,request
55,67,chambre,bedroom
56,68,mis,placed
57,69,belle,beautiful
58,70,droit,law
59,73,mari,husband
60,75,enfin,finally
61,76,espÃƒÂ¨re,hope
62,78,nouvelle,new
63,79,boulot,job
64,80,arrÃƒÂªter,Stop
65,81,dirait,would say
66,82,compte,account
67,83,donne,given
68,84,loin,far
69,85,fin,end
70,86,croire,believe
71,87,chÃƒÂ©rie,sweetheart
72,88,gros,large
73,89,plutÃƒÂ´t,rather
74,90,aura,will have
75,91,filles,girls
76,93,bureau,office
